Date;Week;Day;Holiday
3-1-2011;2;2;0
4-1-2011;2;3;0
5-1-2011;2;4;0
6-1-2011;2;5;0
7-1-2011;2;6;0
8-1-2011;2;7;0
9-1-2011;3;1;0
10-1-2011;3;2;0
11-1-2011;3;3;0
12-1-2011;3;4;0
13-1-2011;3;5;0
14-1-2011;3;6;0
15-1-2011;3;7;0
16-1-2011;4;1;0
17-1-2011;4;2;0
18-1-2011;4;3;0
19-1-2011;4;4;0
20-1-2011;4;5;0
21-1-2011;4;6;0
22-1-2011;4;7;0
23-1-2011;5;1;0
24-1-2011;5;2;0
25-1-2011;5;3;0
26-1-2011;5;4;0
27-1-2011;5;5;0
28-1-2011;5;6;0
29-1-2011;5;7;0
30-1-2011;6;1;0
31-1-2011;6;2;0
1-2-2011;6;3;0
2-2-2011;6;4;0
3-2-2011;6;5;0
4-2-2011;6;6;0
5-2-2011;6;7;0
6-2-2011;7;1;0
7-2-2011;7;2;0
8-2-2011;7;3;0
9-2-2011;7;4;0
10-2-2011;7;5;0
11-2-2011;7;6;0
12-2-2011;7;7;0
13-2-2011;8;1;0
14-2-2011;8;2;0
15-2-2011;8;3;0
16-2-2011;8;4;0
17-2-2011;8;5;0
18-2-2011;8;6;0
19-2-2011;8;7;1
20-2-2011;9;1;1
21-2-2011;9;2;1
22-2-2011;9;3;1
23-2-2011;9;4;1
24-2-2011;9;5;1
25-2-2011;9;6;1
26-2-2011;9;7;1
27-2-2011;10;1;1
28-2-2011;10;2;0
1-3-2011;10;3;0
2-3-2011;10;4;0
3-3-2011;10;5;0
4-3-2011;10;6;0
5-3-2011;10;7;0
6-3-2011;11;1;0
7-3-2011;11;2;0
8-3-2011;11;3;0
9-3-2011;11;4;0
10-3-2011;11;5;0
11-3-2011;11;6;0
12-3-2011;11;7;0
13-3-2011;12;1;0
14-3-2011;12;2;0
15-3-2011;12;3;0
16-3-2011;12;4;0
17-3-2011;12;5;0
18-3-2011;12;6;0
19-3-2011;12;7;0
20-3-2011;13;1;0
21-3-2011;13;2;0
22-3-2011;13;3;0
23-3-2011;13;4;0
24-3-2011;13;5;0
25-3-2011;13;6;0
26-3-2011;13;7;0
27-3-2011;14;1;0
28-3-2011;14;2;0
29-3-2011;14;3;0
30-3-2011;14;4;0
31-3-2011;14;5;0
1-4-2011;14;6;0
2-4-2011;14;7;0
3-4-2011;15;1;0
4-4-2011;15;2;0
5-4-2011;15;3;0
6-4-2011;15;4;0
7-4-2011;15;5;0
8-4-2011;15;6;0
9-4-2011;15;7;0
10-4-2011;16;1;0
11-4-2011;16;2;0
12-4-2011;16;3;0
13-4-2011;16;4;0
14-4-2011;16;5;0
15-4-2011;16;6;0
16-4-2011;16;7;0
17-4-2011;17;1;0
18-4-2011;17;2;0
19-4-2011;17;3;0
20-4-2011;17;4;0
21-4-2011;17;5;0
22-4-2011;17;6;0
23-4-2011;17;7;0
24-4-2011;18;1;0
25-4-2011;18;2;0
26-4-2011;18;3;0
27-4-2011;18;4;0
28-4-2011;18;5;0
29-4-2011;18;6;0
30-4-2011;18;7;1
1-5-2011;19;1;1
2-5-2011;19;2;1
3-5-2011;19;3;1
4-5-2011;19;4;1
5-5-2011;19;5;1
6-5-2011;19;6;1
7-5-2011;19;7;1
8-5-2011;20;1;1
9-5-2011;20;2;0
10-5-2011;20;3;0
11-5-2011;20;4;0
12-5-2011;20;5;0
13-5-2011;20;6;0
14-5-2011;20;7;0
15-5-2011;21;1;0
16-5-2011;21;2;0
17-5-2011;21;3;0
18-5-2011;21;4;0
19-5-2011;21;5;0
20-5-2011;21;6;0
21-5-2011;21;7;0
22-5-2011;22;1;0
23-5-2011;22;2;0
24-5-2011;22;3;0
25-5-2011;22;4;0
26-5-2011;22;5;0
27-5-2011;22;6;0
28-5-2011;22;7;0
29-5-2011;23;1;0
30-5-2011;23;2;0
31-5-2011;23;3;0
1-6-2011;23;4;0
2-6-2011;23;5;0
3-6-2011;23;6;0
4-6-2011;23;7;0
5-6-2011;24;1;0
6-6-2011;24;2;0
7-6-2011;24;3;0
8-6-2011;24;4;0
9-6-2011;24;5;0
10-6-2011;24;6;0
11-6-2011;24;7;0
12-6-2011;25;1;0
13-6-2011;25;2;0
14-6-2011;25;3;0
15-6-2011;25;4;0
16-6-2011;25;5;0
17-6-2011;25;6;0
18-6-2011;25;7;0
19-6-2011;26;1;0
20-6-2011;26;2;0
21-6-2011;26;3;0
22-6-2011;26;4;0
23-6-2011;26;5;0
24-6-2011;26;6;0
25-6-2011;26;7;0
26-6-2011;27;1;0
27-6-2011;27;2;0
28-6-2011;27;3;0
29-6-2011;27;4;0
30-6-2011;27;5;0
1-7-2011;27;6;0
2-7-2011;27;7;0
3-7-2011;28;1;0
4-7-2011;28;2;0
5-7-2011;28;3;0
6-7-2011;28;4;0
7-7-2011;28;5;0
8-7-2011;28;6;0
9-7-2011;28;7;0
10-7-2011;29;1;0
11-7-2011;29;2;0
12-7-2011;29;3;0
13-7-2011;29;4;0
14-7-2011;29;5;0
15-7-2011;29;6;0
16-7-2011;29;7;1
17-7-2011;30;1;1
18-7-2011;30;2;1
19-7-2011;30;3;1
20-7-2011;30;4;1
21-7-2011;30;5;1
22-7-2011;30;6;1
23-7-2011;30;7;1
24-7-2011;31;1;1
25-7-2011;31;2;1
26-7-2011;31;3;1
27-7-2011;31;4;1
28-7-2011;31;5;1
29-7-2011;31;6;1
30-7-2011;31;7;1
31-7-2011;32;1;1
1-8-2011;32;2;1
2-8-2011;32;3;1
3-8-2011;32;4;1
4-8-2011;32;5;1
5-8-2011;32;6;1
6-8-2011;32;7;1
7-8-2011;33;1;1
8-8-2011;33;2;1
9-8-2011;33;3;1
10-8-2011;33;4;1
11-8-2011;33;5;1
12-8-2011;33;6;1
13-8-2011;33;7;1
14-8-2011;34;1;1
15-8-2011;34;2;1
16-8-2011;34;3;1
17-8-2011;34;4;1
18-8-2011;34;5;1
19-8-2011;34;6;1
20-8-2011;34;7;1
21-8-2011;35;1;1
22-8-2011;35;2;1
23-8-2011;35;3;1
24-8-2011;35;4;1
25-8-2011;35;5;1
26-8-2011;35;6;1
27-8-2011;35;7;1
